Sistema;Planeta;Recursos;Clima;Notas adicionales
Goborio Ipuga;Planeta algente;Cristal de escarcha, Cobre, Di¢xida, Sodio;?;?
;Planeta de alta radiaci¢n;Ra¡z de gamma, Cobre, Uranio, Ferrita imantada;?;?
;Luna algente;Cristal de escarcha, Cobre, Di¢xida, Ferrita imantada;?;?
;Planeta caliente;Solanio, Cobre, F¢sforo, Cobalto;?;?
;Planeta abundante en flora;Bulbo estelar, Cobre, Parafinio, Plata;vaho caldeado;Plantas brillantes voladoras moradas, azules y verdes
Lomase-Kin;Planeta lluvioso;Bulbo estelar, Sodio, Parafinio, Cobre;charcos asfixiantes;Superficie p£rpura con lagos dorados y plantas luminosas
;Planeta olvidado;Cobre, Metal oxidado, Sodio;?;?
;Segundo planeta lluvioso;Bulbo estelar, Cobre activado, Parafinio, Plata;?;?
;Planeta septentrional;Cristal de escarcha, Cobre, Di¢xido, Sodio;?;?
;Planeta d‚bil;Chatarra recuperable, Moho f£ngico, Cobre, Amonio, Ferrita imantada;?;?
Exbordb;Planeta abundante en flora;Huesos antiguos, Bulbo estelar, Cobre, Parafinio, Sodio;h£medo;?
;Planeta yermo;Cobre, Metal oxidado, Ferrita imantada;?;?
;Planeta de vientos salvajes;Carne de cactus, Cobre, Pirita, Plata;?;?
;Planeta d‚bil;Huesos antiguos, Moho f£ngico, Cobre, Amonio, Sodio;?;?
;Planeta hienal;Cristal de escarcha, Cobre, Di¢xida, Plata;?;?
;Planeta de intensidad gamma;Ra¡z de gamma, Cobre, Uranio, Sal;?;?
Bandoi Omar;Planeta hermoso;Huesos antiguos, Bulbo estelar, Cobre, Parafinio, Cobalto;apacible;?
;Planeta  rtico;Chatarra recuperable, Cristal de escarcha, Cobre, Di¢xida, Cobalto;?;?
;Planeta de alta radiaci¢n;Chatarra recuperable, Ra¡z de gamma, Cobre activado, Uranio, Plata;?;?
;Planeta carbonizado;Huesos antiguos, Solanio, Cobre, F¢sforo, Plata;?;?
;Planeta de aspecto abandonado;Cobre, Metal oxidado, Sodio;?;?
Odermo-Sara;Planeta h£medo;Bulbo estelar, Sal, Parafinio, Cobre;agradable;?
;Planeta de gran energ¡a;Chatarra recuperable, Ra¡z de gamma, Cobre, Uranio, Ferrita imantada;?;?
;Planeta de cuchilla;Cobre, Oro, Cobalto;?;?
;Planeta nocivo;Moho f£ngico, Cobre, Amonio, Ferrita imantada;?;?
;Planeta contaminado;Chatarra recuperable, Ra¡z de gamma, Progenia repugnante, Cobre, Uranio, Sal;?;Centinelas hostiles
;Planeta derretido;Cobre, Basalto, Sodio;?;?
KITOYARK;LAYNXODGW (habitable);Bulbo estelar, Sal, Parafinio, Cobre;?;?
;Planeta reseco;Carne de cactus, Cobre, Pirita, Cobalto;?;?
;Planeta templado;Bulbo estelar, Cobre, Parafinio, Cobalto;?;Centinelas hostiles
;Planeta caluroso;Huesos antiguos, Solanio, Cobre, F¢sforo, Sodio;?;?
Mamata-Inmi;Diman-Menor ( abundante);Bulbo estelar, Cobre, Parafinio, Sodio;?;?
;Planeta lluvioso;Bulbo estelar, Cobre, Parafinio, Plata;?;?
;Planeta bullente;Ra¡z de gamma, Cobre, Uranio, Plata;?;?
;Planeta incandescente;Solanio, Cobre, F¢sforo, Sal;?;?
;Planeta hirviente;Solanio, Cobre, F¢sforo, Sodio;?;?
;Lisde (humedo, nubes verde encanto);Bulbo estelar, Cobre, Parafinio, Ferrita imantada;?;?
Longong Tigras;Osuku (abundante en flora);Bulbo estelar, Cobre, Parafinio, Cobalto;Sereno;?
;Planeta caliente;Chatarra recuperable, Solanio, Cobre, F¢sforo, Sal;?;?
;Planeta est‚ril;Carne de cactus, Cobre, Pirita, Plata;?;?
;Planeta con cubierta;Cobre, Oro, Ferrita imantada;?;?
;Planeta corrosivo;Moho f£ngico, Cobre, Amonio, Sodio;?;?
;Planeta templado;Huesos antiguos, Bulbo estelar, Cobre, Parafinio, Sodio;?;?
